,response,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q11,Q13,Q14,Q15,Q18,Q20,Q21,Q22,Q25,Q26,Q27,Q28
0,1,daily,3,3,2,2,4,4,4,4,4,3,3,4,3,4,4,3,3,3
1,2,daily,4,4,4,5,4,5,4,4,5,5,5,4,4,5,5,3,3,4
2,3,weekly,2,3,5,5,3,5,4,5,3,5,4,5,5,5,5,3,3,2
3,4,weekly,4,5,5,4,3,5,4,5,3,2,3,3,4,5,4,1,3,2
4,5,daily,4,3,4,4,3,4,2,3,3,3,3,4,4,4,3,3,4,1
5,6,daily,5,4,5,5,3,5,4,3,2,5,3,4,3,5,5,3,3,2
6,7,weekly,5,5,4,5,4,4,4,4,2,4,4,4,3,4,4,2,1,3
7,8,daily,2,3,4,5,5,4,5,3,3,4,4,5,5,5,4,1,1,4
8,9,daily,5,5,5,5,3,4,4,4,4,2,4,5,5,4,5,3,3,2
9,10,daily,2,4,5,5,4,4,4,5,5,4,5,5,5,5,5,1,3,1
10,11,weekly,4,5,5,5,5,4,5,3,1,3,2,3,3,4,4,1,1,2
11,12,daily,3,4,2,1,1,1,1,4,2,3,3,5,5,5,4,3,3,3
12,13,weekly,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4
13,14,weekly,4,4,5,5,4,5,4,4,2,3,3,4,5,5,5,1,3,2
14,15,weekly,4,4,5,5,4,4,4,4,2,4,4,5,5,5,4,3,1,2
15,16,weekly,4,5,5,5,3,2,3,2,2,4,2,2,2,2,3,1,1,2
16,17,daily,4,3,4,5,3,4,4,3,2,2,4,5,5,4,5,3,3,2
17,18,daily,4,4,4,5,3,2,3,2,2,2,2,5,4,4,4,3,4,2
18,19,weekly,3,4,5,5,5,2,4,5,2,3,4,5,5,5,5,3,3,4
